wilayah_kode,wilayah,tahun,value
9411,Puncak Jaya,2023,50.81
3310,Klaten,2014,73.19
1601,Ogan Komering Ulu,2019,69.45
9204,Maybrat,2022,60.49
7105,Minahasa Selatan,2017,70.05
6409,Penajam Paser Utara,2014,68.6
7400,SULAWESI TENGGARA,2020,71.45
6311,Balangan,2024,71.34
6271,Kota Palangka Raya,2023,81.68
3571,Kota Kediri,2010,72.2
6172,Kota Singkawang,2010,67.27
3210,Majalengka,2024,69.74
5308,Lembata,2019,64.91
3401,Kulon Progo,2013,70.14
1571,Kota Jambi,2018,77.41
9427,Supiori,2021,62.72
9603,Deiyai,2023,51.18
1175,Kota Subulussalam,2019,64.46
6112,Kubu Raya,2020,67.95
1507,Tanjung Jabung Barat,2011,61.98
3276,Kota Depok,2020,80.97
5305,Timor Tengah Utara,2023,65.16
1709,Bengkulu Tengah,2014,64.1
9403,Jayapura,2018,71.25
1221,Padang Lawas,2018,67.59
6372,Kota Banjar Baru,2020,79.1
9408,Kepulauan Yapen,2023,69.11
3214,Purwakarta,2011,65.51
8108,Maluku Barat Daya,2015,58.64
9435,Intan Jaya,2022,49.25
9416,Yahukimo,2010,40.63
3517,Jombang,2021,73.45
7104,Kepulauan Talaud,2021,69.83
1611,Empat Lawang,2011,61.86
6311,Balangan,2013,64.03
1509,Bungo,2024,71.92
1473,Kota Dumai,2013,71.59
6310,Tanah Bumbu,2014,66.94
1504,Batang Hari,2019,69.67
1206,Toba Samosir / Toba,2015,73.4
6402,Kutai Barat,2016,69.99
5300,NUSA TENGGARA TIMUR,2010,59.21
1704,Kaur,2013,63.17
5208,Lombok Utara,2015,61.15
6501,Malinau,2016,70.71
1608,Ogan Komering Ulu Selatan,2011,59.74
7503,Pohuwato,2013,61.38
3371,Kota Magelang,2011,74.47
3323,Temanggung,2023,71.33
7571,Kota Gorontalo,2020,77.13
1175,Kota Subulussalam,2023,67.1
1220,Padang Lawas Utara,2023,71.63
9504,Asmat,2022,52.22
5314,Rote Ndao,2017,60.51
9431,Mamberamo Tengah,2016,44.15
3320,Jepara,2015,70.02
1674,Kota Lubuklinggau,2011,71.62
9203,Sorong Selatan,2024,64.5
1606,Musi Banyuasin,2011,62.56
9106,Sorong Selatan,2023,63.94
1175,Kota Subulussalam,2020,64.93
3327,Pemalang,2020,66.32
6203,Kapuas,2022,70.01
1100,ACEH,2018,71.19
3276,Kota Depok,2015,79.11
3273,Kota Bandung,2014,78.98
1603,Muara Enim,2014,65.02
9432,Yalimo,2022,49.9
1403,Indragiri Hilir,2013,63.44
7406,Bombana,2014,63.38
3206,Tasikmalaya,2021,65.9
9403,Jayapura,2019,71.84
9411,Puncak Jaya,2013,43.36
3328,Tegal,2017,66.44
7208,Parigi Moutong,2011,60.36
1108,Aceh Besar,2010,69.76
6307,Hulu Sungai Tengah,2024,70.69
7317,Luwu,2013,66.39
1376,Kota Payakumbuh,2013,76.34
8106,Seram Bagian Barat,2016,63.76
7172,Kota Bitung,2018,73.27
7326,Toraja Utara,2023,71.23
2103,Natuna,2021,73.09
1506,Tanjung Jabung Timur,2011,57.77
1303,Solok,2019,69.08
9413,Boven Digoel,2016,59.35
1612,Penukal Abab Lematang Ilir,2023,66.64
5107,Karangasem,2023,68.91
9414,Mappi,2010,54.09
7303,Bantaeng,2011,63.07
7311,Bone,2010,59.69
3305,Kebumen,2015,66.87
8271,Kota Ternate,2014,77.15
6112,Kubu Raya,2015,65.02
1672,Kota Prabumulih,2013,71.87
6111,Kayong Utara,2021,62.9
8102,Maluku Tenggara,2015,63.35
3515,Sidoarjo,2016,78.17
9435,Intan Jaya,2017,45.68
1213,Langkat,2010,64.57
9419,Sarmi,2013,59.51
9471,Kota Jayapura,2021,80.11
3508,Lumajang,2016,63.74
6172,Kota Singkawang,2021,72.11
6403,Kutai Kartanegara,2010,67.45
1402,Indragiri Hulu,2011,65.93
7408,Kolaka Utara,2019,68.91
6110,Melawi,2021,65.87
1407,Rokan Hulu,2011,64.2
8102,Maluku Tenggara,2021,66.33
1206,Toba Samosir / Toba,2012,71.89
1503,Sarolangun,2021,70.25
3578,Kota Surabaya,2011,77.62
1903,Bangka Barat,2024,70.67
1473,Kota Dumai,2015,72.2
9415,Asmat,2010,43.69
7406,Bombana,2018,65.04
6504,Nunukan,2014,63.13
3526,Bangkalan,2013,60.19
1606,Musi Banyuasin,2010,61.79
1271,Kota Sibolga,2010,68.37
5318,Nagekeo,2022,66.22
3275,Kota Bekasi,2022,82.46
1611,Empat Lawang,2023,66.68
7302,Bulukumba,2023,71.21
5312,Ngada,2023,69.14
3574,Kota Probolinggo,2012,68.93
1204,Tapanuli Tengah,2021,69.61
6209,Katingan,2011,64.54
1604,Lahat,2018,66.99
3376,Kota Tegal,2022,76.15
1400,RIAU,2022,73.52
7318,Tana Toraja,2022,69.88
6310,Tanah Bumbu,2016,68.28
6200,KALIMANTAN TENGAH,2013,67.41
5312,Ngada,2016,65.61
6409,Penajam Paser Utara,2022,72.55
3573,Kota Malang,2022,82.71
8104,Buru,2023,70.56
1800,LAMPUNG,2010,63.71
1400,RIAU,2018,72.44
3502,Ponorogo,2018,69.91
2101,Karimun,2011,66.82
7310,Barru,2023,72.36
6103,Landak,2023,68.14
3274,Kota Cirebon,2018,74.35
5208,Lombok Utara,2018,63.83
5171,Kota Denpasar,2014,81.65
1602,Ogan Komering Ilir,2017,66.11
5103,Badung,2017,80.54
1808,Tulangbawang,2013,64.91
9403,Jayapura,2013,69.21
1705,Seluma,2010,60.27
2102,Bintan,2015,71.92
1306,Padang Pariaman,2020,70.61
1308,Lima Puluh Kota,2017,68.69
7372,Kota Parepare,2022,78.54
3326,Pekalongan,2019,69.71
3672,Kota Cilegon,2019,73.01
7172,Kota Bitung,2024,75.71
3271,Kota Bogor,2015,73.65
3327,Pemalang,2023,68.03
1101,Simeulue,2023,68.06
1603,Muara Enim,2012,63.34
5303,Kupang,2014,61.68
1111,Aceh Utara,2018,68.36
7311,Bone,2018,65.04
6171,Kota Pontianak,2013,75.98
7318,Tana Toraja,2010,62.83
2100,KEPULAUAN RIAU,2013,73.02
1771,Kota Bengkulu,2012,75.71
3579,Kota Batu,2019,75.88
3512,Situbondo,2016,65.08
3510,Banyuwangi,2010,64.54
6400,KALIMANTAN TIMUR,2016,74.59
6103,Landak,2010,60.36
3217,Bandung Barat,2022,69.04
6503,Tana Tidung,2016,65.64
6372,Kota Banjar Baru,2014,77.3
9105,Manokwari,2020,72.01
3321,Demak,2017,70.41
1501,Kerinci,2011,65.85
7310,Barru,2011,65.73
7105,Minahasa Selatan,2010,66.11
3213,Subang,2016,67.14
9101,Fakfak,2015,64.92
7372,Kota Parepare,2019,77.62
1301,Kepulauan Mentawai,2024,63.99
1409,Rokan Hilir,2010,64.13
1804,Lampung Timur,2013,66.07
9103,Teluk Wondama,2023,61.67
7200,SULAWESI TENGAH,2023,70.95
3500,JAWA TIMUR,2017,70.27
7400,SULAWESI TENGGARA,2023,72.79
9471,Kota Jayapura,2013,77.46
3575,Kota Pasuruan,2018,74.78
1204,Tapanuli Tengah,2017,67.96
8203,Kepulauan Sula,2012,58.83
8105,Kepulauan Aru,2019,63.64
3301,Cilacap,2017,68.9
3210,Majalengka,2023,69.13
6300,KALIMANTAN SELATAN,2014,67.63
1704,Kaur,2022,67.77
3211,Sumedang,2017,70.07
1375,Kota Bukittinggi,2015,78.72
3324,Kendal,2019,71.97
1606,Musi Banyuasin,2024,70.12
3322,Semarang,2020,74.1
1101,Simeulue,2015,63.16
3403,Gunung Kidul,2015,67.41
3577,Kota Madiun,2022,82.01
6502,Bulungan,2012,68.16
8108,Maluku Barat Daya,2019,61.55
1306,Padang Pariaman,2022,71.63
1905,Bangka Selatan,2014,63.54
1212,Deli Serdang,2020,75.44
8109,Buru Selatan,2015,61.48
1224,Nias Utara,2020,62.36
1225,Nias Barat,2019,61.14
1673,Kota Pagar Alam,2023,70.45
5101,Jembrana,2017,70.72
9420,Keerom,2014,62.73
1808,Tulangbawang,2024,70.66
3509,Jember,2020,67.11
6209,Katingan,2021,68.89
1376,Kota Payakumbuh,2011,75.39
